,technique,tags
46,Windows Management Instrumentation,"['access', 'system components', 'files', 'execution', 'part']"
47,Exfiltration Over Alternative Protocol,"['protocol', 'data exfiltration', 'command', 'channel', 'control server']"
48,System Network Connections Discovery,"['information', 'network connections', 'system', 'utilities', 'network']"
49,New Service,"['services', 'adversaries', 'privileges', 'administrator privileges', 'operating systems']"
50,Shared Webroot,"['content', 'server', 'web server', 'system', 'website']"
51,Exfiltration Over Physical Medium,"['device', 'medium', 'exfiltration', 'drive', 'network compromise']"
52,Scheduled Task,"['system', 'task', 'programs', 'time', 'date']"
53,Indicator Blocking,"['events', 'indicators', 'traffic', 'event telemetry', 'host']"
54,Process Injection,"['process injection', 'process', 'access', 'execution', 'code']"
55,Input Capture,"['credentials', 'user input', 'adversaries', 'methods', 'access opportunities']"
56,Process Discovery,"['system', 'processes', 'information', 'example command', 'network']"
57,Service Registry Permissions Weakness,"['service', 'keys', 'adversaries', 'execution parameters', 'service controller']"
58,CommandLine Interface,"['command', 'line interfaces', 'computer systems', 'execution', 'software']"
59,Registry Run Keys  Startup Folder,"['run keys', 'program', 'folder', 'entry', 'default']"
60,Graphical User Interface,"['operating system', 'adversaries', 'gui', 'system', 'mouse']"
61,Hypervisor,"['guest operating systems', 'hypervisor', 'operating system', 'hardware', 'existence']"
62,Security Software Discovery,"['security software', 'tools', 'configurations', 'system', 'listing']"
63,Scripting,"['scripts', 'adversaries', 'macros', 'operations', 'software exploitation']"
64,Uncommonly Used Port,"['proxies', 'firewalls', 'port', 'c2 communications', 'adversaries']"
65,Indicator Removal from Tools,"['malware', 'systems', 'file signature', 'target', 'tool']"
66,Bootkit,"['boot sectors', 'drive', 'adversaries', 'bootkit', 'systems']"
67,Exploitation for Privilege Escalation,"['adversary', 'software vulnerability', 'exploitation', 'system', 'access']"
68,Permission Groups Discovery,"['level groups', 'domain', 'commands', 'permissions settings', 'groups']"
69,Indicator Removal on Host,"['events', 'logs', 'host system', 'actions', 'files']"
70,Standard Application Layer Protocol,"['application layer protocol', 'commands', 'node', 'traffic', 'client']"
71,Thirdparty Software,"['access', 'systems', 'software deployment systems', 'adversary', 'network environment']"
72,DLL SideLoading,"['side', 'programs', 'adversaries', 'winsxs', 'vulnerability']"
73,Data Staged,"['data', 'location', 'files', 'directory', 'cmd']"
74,Pass the Hash,"['hash', 'user', 'cleartext password', 'method', 'authentication steps']"
75,Remote Desktop Protocol,"['session', 'user', 'adversaries', 'credentials', 'operating systems']"
76,Windows Admin Shares,"['systems', 'administrators', 'network shares', 'level', 'file copy']"
77,Valid Accounts,"['systems', 'service account', 'accounts', 'credentials', 'access']"
78,Multilayer Encryption,"['layers', 'c2 communications', 'encryption', 'adversary', 'custom encryption scheme']"
79,Taint Shared Content,"['directory share pivot', 'user', 'technique', 'content', 'exploit code']"
80,Credentials in Files,"['file shares', 'passwords', 'file systems', 'files', 'individuals']"
81,System Information Discovery,"['information', 'hardware', 'example commands', 'operating system', 'breakdown']"
82,File and Directory Discovery,"['files', 'directories', 'information', 'network share', 'tree']"
83,Windows Management Instrumentation Event Subscription,"['event filters', 'event', 'providers', 'code', 'adversaries']"
84,Rundll32,"['execution', 'functionality', 'code', 'adversaries', 'advantage']"
85,PowerShell,"['execution', 'command', 'scripting environment', 'line interface', 'operating system']"
86,Account Discovery,"['user', 'group', 'example commands', 'use', 'system']"
87,Bypass User Account Control,"['privileges', 'user', 'level permissions', 'administrator', 'process']"
88,Disabling Security Tools,"['security tools', 'security software', 'tools', 'detection', 'adversaries']"
89,Connection Proxy,"['network traffic', 'connection proxy', 'systems', 'trust relationships', 'networks']"
90,Replication Through Removable Media,"['media', 'systems', 'modification', 'malware', 'files']"
91,Communication Through Removable Media,"['system', 'command', 'internet', 'adversaries', 'media']"
92,Process Hollowing,"['process', 'code', 'defenses', 'detection analysis', 'memory']"
93,Custom Command and Control Protocol,"['control protocol', 'custom command', 'data', 'encapsulating commands', 'protocols']"
94,Standard NonApplication Layer Protocol,"['host', 'layer protocol', 'communication', 'examples', 'c2 server']"
95,NTFS File Attributes,"['file', 'data', 'partition', 'directory', 'binaries']"
96,Pass the Ticket,"['ticket', 'account', 'service tickets', 'access', 'resource']"
97,Account Manipulation,"['account manipulation', 'permission levels', 'credentials', 'adversaries', 'access']"
98,Timestomp,"['file', 'timestomping', 'file analysis tools', 'modify', 'access']"
99,Web Shell,"['web shell', 'web server', 'web script', 'adversary', 'line interface']"
100,Security Support Provider,"['system start', 'passwords', 'dlls', 'keys', 'process']"
101,Web Service,"['web service', 'adversaries', 'infrastructure', 'commands', 'drop resolver']"
102,AppInit DLLs,"['process', 'value', 'link libraries', 'privilege escalation', 'persistence']"
103,MultiStage Channels,"['stages', 'command', 'control', 'access tools', 'control server']"
104,Remote File Copy,"['files', 'adversary tools', 'tools', 'system', 'adversary']"
105,Execution through API,"['application programming interface', 'binaries', 'functions', 'scripts', 'path']"
106,File Deletion,"['tools', 'adversary', 'cleanup process', 'system', 'files']"
107,Redundant Access,"['access tool', 'access', 'adversaries', 'network', 'tool']"
108,Component Firmware,"['firmware', 'adversaries', 'operating system', 'level', 'integrity checking']"
109,Brute Force,"['passwords', 'password hashes', 'accounts', 'adversaries', 'force techniques']"
110,TwoFactor Authentication Interception,"['multifactor authentication', 'cards', 'adversaries', 'access', 'security']"
111,Modify Registry,"['access', 'keys', 'part', 'execution', 'command']"
112,Screen Capture,"['screen captures', 'operation', 'desktop', 'information', 'course']"
113,Email Collection,"['user email', 'adversaries', 'files', 'information', 'credentials']"
114,Clipboard Data,"['data', 'applications', 'users', 'information', 'clipboard']"
115,Code Signing,"['code signing', 'binary', 'adversaries', 'level', 'authenticity']"
116,Regsvr32,"['functionality', 'execution', 'process', 'binaries', 'object']"
117,InstallUtil,"['line utility', 'installation', 'uninstallation', 'attributes', 'resources']"
118,Automated Collection,"['techniques', 'use', 'file type', 'location', 'criteria']"
119,Peripheral Device Discovery,"['computer system', 'information', 'components', 'devices', 'network environment']"
120,RegsvcsRegasm,"['line utilities', 'code', 'attributes', 'registration', 'command']"
121,Component Object Model Hijacking,"['system', 'adversaries', 'software components', 'code', 'persistence']"
122,Audio Capture,"['applications', 'devices', 'webcams', 'video call services', 'microphones']"
123,System Time Discovery,"['system time', 'time synchronization', 'systems', 'time zone', 'information']"
124,Video Capture,"['video call services', 'applications', 'devices', 'images', 'webcams']"
125,Network Share Connection Removal,"['connections', 'adversaries', 'command', 'drive', 'use']"
126,Trusted Developer Utilities,"['code', 'proxy execution', 'utilities', 'software development', 'execution']"
127,Netsh Helper DLL,"['helper dlls', 'functionality', 'utility', 'code', 'system']"
128,Execution through Module Load,"['dlls', 'directory', 'functionality', 'pathname', 'paths']"
129,Install Root Certificate,"['root certificates', 'system', 'security risk', 'user', 'certificates']"
130,Authentication Package,"['system start', 'process', 'support', 'binary', 'package dlls']"
131,Data Encoding,"['data encoding', 'data', 'system', 'protocol specifications', 'information']"
132,External Remote Services,"['services', 'access mechanisms', 'enterprise network resources', 'users', 'access']"
133,Access Token Manipulation,"['access tokens', 'user', 'adversaries', 'token', 'security context']"
134,Network Share Discovery,"['systems', 'network drives', 'networks', 'folders', 'file sharing']"
135,Create Account,"['system', 'domain account', 'access', 'level', 'persistence']"
136,Office Application Startup,"['application suite', 'ins', 'add', 'rules', 'forms']"
137,Application Shimming,"['shims', 'application shimming feature', 'program', 'database', 'installer']"
138,Bash History,"['user', 'commands users type', 'file', 'command', 'track']"
139,DeobfuscateDecode Files or Information,"['file', 'payload', 'example', 'information', 'user']"
140,Input Prompt,"['credentials', 'user context', 'prompt', 'privileges', 'user']"
141,Keychain,"['credentials', 'keychains', 'passwords', 'users', 'macos']"
142,Hidden Window,"['applications', 'files', 'plist', 'property list', 'icon']"
143,Gatekeeper Bypass,"['file', 'applications', 'flag', 'programs', 'usb flash drive']"
144,Private Keys,"['keys', 'adversaries', 'systems', 'files', 'passphrase']"
145,Clear Command History,"['commands users', 'command history', 'users', 'file', 'commands']"
146,Hidden Users,"['user account', 'user', 'macos', 'property value', 'hide500users']"
147,HISTCONTROL,"['history command', 'user', 'space', 'file', 'track']"
148,LC_MAIN Hijacking,"['binarys entry point', 'execution', 'binary', 'header', 'application whitelisting']"
149,Plist Modification,"['files', 'plist', 'user', 'programs', 'privileges']"
150,Space after Filename,"['file', 'user', 'end', 'extension', 'space']"
151,Launchctl,"['launch agents', 'commands', 'adversaries', 'launch daemons', 'arg']"
152,Source,"['shell', 'functions', 'program', 'source command', 'files']"
153,Trap,"['trap command', 'shells', 'signals', 'keyboard interrupts', 'programs']"
154,AppleScript,"['scripting architecture', 'messages', 'script', 'events', 'application']"
155,bash_profile and bashrc,"['user', 'shell', 'time', 'files', 'environment']"
156,Dylib Hijacking,"['dylib', 'search paths', 'application', 'adversaries', 'privilege escalation']"
157,Hidden Files and Directories,"['files', 'users', 'commands', 'folders', 'system']"
158,Launch Agent,"['user', 'launch', 'plist', 'property list', 'user level privileges']"
159,Launch Daemon,"['plist', 'demand system', 'property list', 'files', 'adversaries']"
160,LC_LOAD_DYLIB Addition,"['binaries', 'signatures', 'changes', 'headers', 'execution time']"
161,Login Item,"['user', 'items', 'applications', 'time', 'login items']"
162,Rccommon,"['file', 'launch agents', 'favor', 'command', 'technique']"
163,Reopened Applications,"['users', 'property list files', 'machine', 'plist', 'app']"
164,Startup Items,"['startup items', 'directory', 'execution order', 'files', 'system']"
165,Setuid and Setgid,"['application', 'user', 'bits', 'users context', 'group']"
166,Securityd Memory,"['users', 'keychain passwords', 'master key', 'passwords', 'memory']"
167,Local Job Scheduling,"['systems', 'cron', 'background jobs', 'programs', 'crontab file']"
168,Sudo,"['users', 'privilege', 'sudoers file', 'commands', 'password']"
169,Mshta,"['file extension', 'hta files', 'execution', 'browser', 'utility']"
170,LLMNRNBTNS Poisoning and Relay,"['identifies systems', 'adversaries', 'host identification', 'name resolution', 'system']"
171,Domain Fronting,"['domains', 'header', 'field', 'traffic', 'technique']"
172,Dynamic Data Exchange,"['data links', 'command execution', 'duplications', 'applications', 'notifications']"
173,Password Filter DLL,"['password filters', 'filters', 'validation', 'domain', 'credentials']"
174,Distributed Component Object Model,"['software objects', 'application programming interface', 'server objects', 'methods', 'interaction']"
175,Browser Extensions,"['browser extensions', 'extensions', 'plugins', 'app store', 'programs']"
176,LSASS Driver,"['security subsystem', 'components', 'set', 'execution', 'adversaries']"
177,SIDHistory Injection,"['sid', 'security identifier', 'access tokens', 'group account', 'user']"
178,Hooking,"['hooking', 'functions', 'process', 'calls', 'hooking mechanisms']"
179,Screensaver,"['screensavers', 'user inactivity', 'persistence', 'programs', 'base']"
180,Extra Window Memory Injection,"['window', 'memory', 'data', 'processes', 'windows class']"
181,AppCert DLLs,"['process', 'privilege escalation', 'persistence', 'value', 'context']"
182,Image File Execution Options Injection,"['process', 'debugger', 'application', 'exits', 'values']"
183,SSH Hijacking,"['systems', 'access', 'agent', 'sessions', 'adversaries']"
184,Man in the Browser,"['browser techniques', 'browser', 'adversaries', 'browser software', 'security vulnerabilities']"
185,Process Doppelgnging,"['file operations', 'txf', 'file', 'write handle transaction', 'time']"
186,Forced Authentication,"['systems', 'user', 'access', 'adversaries', 'resources']"
187,Multihop Proxy,"['traffic', 'proxies', 'defender', 'source', 'adversaries']"
188,Driveby Compromise,"['user', 'website', 'compromise', 'system', 'web browser']"
189,Exploit PublicFacing Application,"['computer system', 'internet', 'weakness', 'applications', 'websites']"
190,CMSTP,"['command', 'service profiles', 'installation information file', 'access connections', 'adversaries']"
191,Spearphishing Link,"['email', 'link', 'files', 'spearphishing', 'forms']"
192,Spearphishing Attachment,"['file', 'email', 'attachment', 'execution', 'adversaries']"
193,Spearphishing via Service,"['service', 'target', 'adversaries', 'enterprise email channels', 'spearphishing']"
194,Supply Chain Compromise,"['supply chain compromise', 'software', 'products', 'consumer', 'victim set']"
195,Control Panel Items,"['items', 'files', 'executable', 'application programming interface', 'users']"
196,BITS Jobs,"['jobs', 'file transfer mechanism', 'bandwidth', 'applications', 'bits tasks']"
197,SIP and Trust Provider Hijacking,"['signatures', 'file', 'trust', 'code', 'function']"
198,Trusted Relationship,"['access', 'party', 'network', 'providers', 'leverage organizations']"
199,Hardware Additions,"['networking hardware', 'computer accessories', 'access', 'usage', 'references']"
200,Password Policy Discovery,"['policies', 'passwords', 'networks', 'adversary', 'account']"
201,Indirect Command Execution,"['execution', 'cmd', 'commands', 'programs', 'utilities']"
202,Exploitation for Client Execution,"['exploitation', 'users', 'system', 'files', 'adversaries']"
203,User Execution,"['user', 'execution', 'document file', 'adversary', 'order']"
204,Port Knocking,"['ports', 'packets', 'series', 'method', 'adversaries']"
205,Sudo Caching,"['sudo', 'users', 'sudo command', 'password', 'tty']"
206,DCShadow,"['objects', 'schemas', 'technique', 'rogue', 'security monitors']"
207,Kerberoasting,"['service principal names', 'spns', 'ticket', 'service logon account', 'service']"
208,Time Providers,"['time synchronization', 'service', 'time providers', 'network resources', 'domains']"
209,Exploitation of Remote Services,"['exploitation', 'adversary', 'service', 'software vulnerability', 'operating system software']"
210,Exploitation for Defense Evasion,"['adversary', 'security software', 'software vulnerability', 'programming error', 'exploitation']"
211,Exploitation for Credential Access,"['adversary', 'credentialing', 'exploitation', 'access', 'programming error']"
212,Data from Information Repositories,"['information repositories', 'adversaries', 'documentation', 'tools', 'storage']"
213,Credentials in Registry,"['programs', 'credentials', 'passwords', 'services', 'use']"
214,Kernel Modules and Extensions,"['kernel', 'system', 'example', 'type', 'module']"
215,Signed Script Proxy Execution,"['scripts', 'execution', 'signature validation restrictions', 'behavior', 'application whitelisting solutions']"
216,Browser Bookmark Discovery,"['browser bookmarks', 'adversaries', 'tools', 'servers', 'dashboards']"
217,Signed Binary Proxy Execution,"['files', 'execution', 'utility', 'adversaries', 'signature validation']"
218,Remote Access Tools,"['systems', 'adversary', 'access tools', 'access software', 'services']"
219,XSL Script Processing,"['files', 'command', 'line example', 'adversaries', 'technique']"
220,Template Injection,"['documents', 'properties', 'xml', 'parts', 'scripting']"
221,File Permissions Modification,"['file permissions', 'file owner', 'dacls', 'modifications', 'file']"
222,Compiled HTML File,"['files', 'content', 'help system', 'programming languages', 'web']"
223,Execution Guardrails,"['target', 'values', 'keying', 'adversary', 'payload']"
224,Domain Trust Discovery,"['domain trust relationships', 'information', 'adversaries', 'domain', 'resources']"
225,Domain Generation Algorithms,"['domains', 'command', 'dgas', 'control traffic', 'malware']"
226,Group Policy Modification,"['user', 'domain', 'access controls', 'group policy', 'gpos']"
227,Data Destruction,"['files', 'data', 'network', 'availability', 'systems']"
228,Data Encrypted for Impact,"['data', 'files', 'target systems', 'network', 'decryption key']"
229,Disk Structure Wipe,"['systems', 'disk data structures', 'network', 'adversaries', 'drive']"
230,Disk Content Wipe,"['contents', 'adversaries', 'network', 'storage devices', 'systems']"
231,Service Stop,"['services', 'adversaries', 'system', 'data stores', 'aid']"
232,Inhibit System Recovery,"['system data', 'recovery', 'adversaries', 'features', 'services']"
233,Defacement,"['adversaries', 'systems', 'messaging', 'defacement', 'organization']"
234,Stored Data Manipulation,"['data', 'adversaries', 'file formats', 'type', 'order']"
235,Transmitted Data Manipulation,"['systems', 'adversaries', 'data', 'order', 'information']"
236,Runtime Data Manipulation,"['adversaries', 'data', 'order', 'systems', 'application binaries']"
237,Firmware Corruption,"['devices', 'system', 'flash memory contents', 'order', 'firmware']"
238,Resource Hijacking,"['systems', 'resources', 'adversaries', 'cryptocurrency networks', 'order']"
239,VirtualizationSandbox Evasion,"['adversaries', 'system information', 'analysis environment', 'system', 'artifacts']"
240,Network Denial of Service,"['attacks', 'network connection', 'system', 'traffic', 'adversaries']"
241,Endpoint Denial of Service,"['services', 'system', 'server applications', 'dos', 'attacks']"
242,Compile After Delivery,"['executables', 'code', 'payloads', 'binaries', 'files']"
243,Systemd Service,"['system', 'systemd', 'services', 'service units', 'init']"
